부문,농림수산품,광산품,음식료품,섬유 및 가죽제품,"목재 및 종이, 인쇄",석탄 및 석유제품,화학제품,비금속광물제품,1차 금속제품,금속가공제품,"컴퓨터, 전자 및 광학기기",전기장비,기계 및 장비,운송장비,기타 제조업 제품,제조임가공 및 산업용 장비 수리,"전력, 가스 및 증기","수도, 폐기물처리 및 재활용서비스",건설,도소매 및 상품중개서비스,운송서비스,음식점 및 숙박서비스,정보통신 및 방송 서비스,금융 및 보험 서비스,부동산서비스,"전문, 과학 및 기술 서비스",사업지원서비스,"공공행정, 국방 및 사회보장",교육서비스,보건 및 사회복지 서비스,"예술, 스포츠 및 여가 관련 서비스",기타 서비스,기타,중간수요계,"민간소비지출
(가계 및 가계봉사
비영리단체)",정부소비지출,"민간고정
자본형성","정부고정
자본형성",재고증감,"귀중품
순취득",수출,최종수요계,총수요계
"컴퓨터, 전자 및 광학기기",0,0,0,0,0,0,0,0,0,1,44,5,4,4,0,2,1,0,2,1,1,1,2,1,1,8,1,0,1,2,0,2,0,84,15,0,10,2,2,0,172,201,285
전기장비,0,0,0,0,0,0,0,0,0,1,3,17,4,10,0,1,2,0,11,1,2,1,2,0,1,3,1,0,0,0,0,2,0,62,6,0,8,0,1,0,31,46,108
기계 및 장비,0,0,0,0,0,1,3,0,1,3,1,1,16,5,0,1,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,2,0,37,0,-1,0,60,98,138
운송장비,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,1,0,0,0,0,6,0,0,0,0,1,0,2,0,0,0,5,0,76,24,0,19,8,2,0,104,157,233
기타 제조업 제품,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,1,0,0,2,0,1,0,0,9,4,0,3,0,0,1,4,12,21
제조임가공 및 산업용 장비 수리,0,0,5,7,2,0,6,1,3,4,5,3,6,6,1,4,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,58,0,0,0,0,0,0,2,2,60
"전력, 가스 및 증기",1,0,1,1,2,3,7,2,7,2,3,1,1,1,0,1,14,1,1,4,2,3,1,1,2,8,1,1,3,4,1,1,0,81,18,0,0,0,0,0,0,18,99
"수도, 폐기물처리 및 재활용서비스",0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,1,2,0,0,0,14,5,1,0,0,0,0,1,7,21
건설,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,0,0,11,0,0,196,64,0,0,0,260,271
도소매 및 상품중개서비스,2,0,10,6,2,1,10,1,3,3,8,4,5,10,2,2,1,0,8,11,3,14,9,1,1,4,1,2,2,11,2,3,0,142,91,0,12,1,2,1,36,143,285
운송서비스,1,1,5,2,2,1,9,5,4,2,5,2,4,4,1,1,0,1,2,21,10,1,3,1,1,4,2,2,0,1,0,1,0,99,21,0,0,0,0,0,34,55,154
음식점 및 숙박서비스,1,0,1,0,1,0,2,0,1,1,1,1,1,1,0,1,0,0,1,12,2,2,2,5,2,9,3,3,8,6,2,3,0,72,87,0,0,0,0,0,11,98,170
정보통신 및 방송 서비스,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,10,2,1,16,9,1,18,2,3,3,1,2,1,0,72,34,0,33,0,1,0,12,80,152
금융 및 보험 서비스,1,0,1,1,1,0,3,1,2,1,2,1,2,2,0,1,1,1,5,8,2,3,2,27,20,5,0,5,2,4,1,1,0,106,73,0,0,0,0,0,5,78,184
부동산서비스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,11,2,7,8,7,1,1,2,4,1,1,0,63,132,0,31,0,0,0,0,163,226
"전문, 과학 및 기술 서비스",1,0,5,1,1,4,12,1,5,2,3,3,3,5,1,1,2,1,18,13,3,3,7,5,2,11,3,2,3,1,1,1,0,124,4,0,73,11,0,0,18,106,230
사업지원서비스,0,0,0,0,0,1,1,0,1,1,1,0,0,2,0,2,1,0,9,7,6,2,4,7,10,8,7,3,2,2,2,0,0,79,6,0,0,0,0,0,11,17,96
"공공행정, 국방 및 사회보장",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,154,0,0,0,0,0,156,159
교육서비스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,71,0,0,0,0,0,128,129
보건 및 사회복지 서비스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,5,58,101,0,0,0,0,1,160,165
"예술, 스포츠 및 여가 관련 서비스",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,2,0,0,8,36,2,0,0,0,0,1,39,47
기타 서비스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1,0,2,1,0,1,0,0,0,0,11,44,0,0,0,0,0,1,45,56
기타,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3
중간투입계,26,1,86,31,24,18,138,24,64,57,91,59,76,156,12,25,28,7,140,122,69,102,54,70,61,108,27,31,35,70,21,28,3,1864,821,329,422,89,17,2,755,2435,4299
