code,name,A,B,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,9090,9111,9112,9121,9122,9131,9132,9140,9190,9290
C08,금속가공제품,59185 ,55075 ,1664922 ,219452 ,302246 ,1151854 ,1649924 ,451966 ,1113278 ,13214041 ,2954092 ,3428793 ,12376266 ,19060046 ,987598 ,1248354 ,500777 ,133223 ,16512004 ,506334 ,659162 ,642553 ,133091 ,159074 ,59326 ,582339 ,296635 ,276868 ,236280 ,142634 ,208000 ,866255 ,81851648 ,703090 ,0 ,3552411 ,1846430 ,443288 ,0 ,11890695 ,18435914 ,100287562 
C09,"컴퓨터, 전자 및 광학기기",98811 ,6190 ,118374 ,80027 ,75325 ,308203 ,402772 ,65594 ,305755 ,495859 ,46532727 ,4037736 ,2789241 ,4206906 ,97738 ,1516621 ,494489 ,169532 ,1269259 ,1327477 ,603180 ,415575 ,2000477 ,648283 ,349276 ,5066352 ,388463 ,384448 ,860885 ,1407248 ,272166 ,1736717 ,78531707 ,16728095 ,0 ,9601519 ,2078305 ,1495715 ,0 ,173778220 ,203681854 ,282213561 
C10,전기장비,106911 ,18085 ,31788 ,75073 ,58542 ,148742 ,231774 ,134040 ,239463 ,602829 ,4665960 ,13248930 ,3782114 ,9673744 ,166011 ,985810 ,1148031 ,183293 ,9111044 ,652548 ,1003389 ,737799 ,1377952 ,274171 ,336742 ,1773718 ,484725 ,298293 ,388106 ,215413 ,267731 ,1253541 ,53676312 ,3937493 ,0 ,7869558 ,159122 ,467069 ,0 ,29563586 ,41996828 ,95673140 
C11,기계 및 장비,212676 ,102745 ,153150 ,47170 ,66139 ,896998 ,2762560 ,345280 ,951612 ,2676647 ,1339206 ,1455775 ,16917664 ,6734550 ,75040 ,1500187 ,183099 ,511261 ,4578909 ,160436 ,229070 ,78917 ,59314 ,49995 ,119253 ,769916 ,113606 ,148578 ,227107 ,83978 ,56467 ,182607 ,43789914 ,1073280 ,0 ,31579151 ,340014 ,322287 ,0 ,47905261 ,81219993 ,125009907 
C12,운송장비,263964 ,63437 ,23234 ,22756 ,43755 ,90131 ,212411 ,152759 ,113525 ,182320 ,19401 ,60325 ,790954 ,64090532 ,14037 ,916896 ,21579 ,139860 ,84092 ,368429 ,5678192 ,32135 ,93027 ,41372 ,19985 ,471837 ,228652 ,650793 ,97533 ,138481 ,89114 ,4599866 ,79815382 ,23870197 ,0 ,16117336 ,5769067 ,2745020 ,0 ,129660499 ,178162119 ,257977501 
C13,기타 제조업 제품,12452 ,1506 ,218048 ,105753 ,22069 ,7165 ,23424 ,6718 ,16237 ,31696 ,42258 ,17346 ,31603 ,49818 ,528177 ,282950 ,6033 ,34775 ,1656896 ,442256 ,163203 ,817558 ,306679 ,354992 ,552571 ,984485 ,333575 ,341210 ,1929844 ,292653 ,520564 ,341783 ,10476297 ,3487637 ,0 ,2052940 ,233593 ,202951 ,937870 ,2755210 ,9670201 ,20146498 
C14,제조임가공 및 산업용 장비 수리,190001 ,105126 ,2959536 ,9191548 ,1417913 ,244730 ,4927151 ,823310 ,2423969 ,3859245 ,6514013 ,2384593 ,4988679 ,8414598 ,950594 ,4608599 ,227249 ,224227 ,537583 ,248984 ,119067 ,29151 ,218481 ,89917 ,32300 ,258243 ,328977 ,152548 ,263842 ,1559396 ,68210 ,30261 ,58392043 ,23509 ,0 ,0 ,0 ,0 ,0 ,2788269 ,2811778 ,61203821 
D,"전력, 가스 및 증기",753331 ,97377 ,1184099 ,1091062 ,1437048 ,1872388 ,6114654 ,1666117 ,6869917 ,1902377 ,3909983 ,888657 ,1249561 ,1845650 ,229204 ,902786 ,12480820 ,991086 ,815936 ,3672537 ,1915454 ,2107206 ,1334833 ,1107471 ,1644815 ,6775464 ,411559 ,1224771 ,3760404 ,2809439 ,1118765 ,815891 ,75000660 ,17682715 ,0 ,0 ,0 ,0 ,0 ,116665 ,17799380 ,92800040 
E,"수도, 폐기물처리 및 재활용서비스",78190 ,12030 ,370364 ,229152 ,470594 ,78195 ,1664794 ,327703 ,2767674 ,407716 ,128780 ,100850 ,528368 ,172257 ,26653 ,99462 ,101898 ,591227 ,120860 ,96253 ,282152 ,1306232 ,196152 ,251113 ,651901 ,522533 ,200170 ,369205 ,556941 ,1050750 ,190760 ,323232 ,14274159 ,3398658 ,1165711 ,0 ,0 ,0 ,0 ,383045 ,4947414 ,19221573 
F,건설,75323 ,13979 ,63771 ,26117 ,26276 ,50217 ,178746 ,31827 ,144602 ,95239 ,114820 ,115549 ,84584 ,107940 ,12229 ,33018 ,331763 ,35072 ,64607 ,257405 ,175854 ,199933 ,263440 ,80118 ,7275973 ,470521 ,94243 ,571918 ,170121 ,75008 ,91438 ,66777 ,11398431 ,0 ,0 ,165908820 ,47566824 ,-1422185 ,0 ,165061 ,212218520 ,223616951 
G,도소매 및 상품중개서비스,2470840 ,55603 ,8819920 ,6234436 ,2009455 ,870042 ,8179020 ,1205709 ,2499904 ,3038329 ,8334337 ,3683362 ,4449412 ,11620687 ,1588418 ,1916203 ,571275 ,342197 ,7366204 ,10100777 ,2421769 ,11822522 ,8210924 ,845748 ,445026 ,3681278 ,1113261 ,1396271 ,2066362 ,9079296 ,1539841 ,3269157 ,131247582 ,78957747 ,0 ,11056000 ,707083 ,1227459 ,318400 ,24133371 ,116400060 ,247647642 
H,운송서비스,627255 ,528873 ,4208413 ,2127203 ,1887790 ,938317 ,7435285 ,4189768 ,3670022 ,2247481 ,4326815 ,1986352 ,2978369 ,4008580 ,589333 ,996318 ,256448 ,1112558 ,1879364 ,15891206 ,8854704 ,791579 ,2153014 ,706358 ,447317 ,3297794 ,1311545 ,2024428 ,417806 ,465645 ,368089 ,650315 ,83374342 ,19621345 ,0 ,240833 ,63687 ,81459 ,7879 ,37954966 ,57970169 ,141344511 
I,음식점 및 숙박서비스,483340 ,76749 ,420119 ,515118 ,430497 ,314872 ,1429396 ,330556 ,785002 ,873628 ,1025411 ,457232 ,893283 ,869440 ,168836 ,1440125 ,235073 ,307513 ,767528 ,8876177 ,1487892 ,921956 ,2053561 ,3460059 ,1019993 ,6230426 ,2157034 ,1856897 ,6389943 ,3244295 ,1359040 ,2869751 ,53750741 ,71133194 ,0 ,0 ,0 ,0 ,0 ,7042220 ,78175414 ,131926155 
J,정보통신 및 방송 서비스,184746 ,19583 ,227705 ,188576 ,230836 ,401122 ,654131 ,209449 ,437144 ,460579 ,1217876 ,351321 ,402764 ,491560 ,90106 ,456907 ,126062 ,320432 ,434661 ,10038321 ,1626297 ,923839 ,16333183 ,8338414 ,723660 ,15957700 ,1758950 ,2387731 ,3310040 ,518177 ,1486875 ,966088 ,71274835 ,31045054 ,0 ,27315764 ,232113 ,17467 ,0 ,5527599 ,64137997 ,135412832 
K,금융 및 보험 서비스,863585 ,162563 ,795945 ,917147 ,631409 ,208643 ,2317846 ,479133 ,1496106 ,1344315 ,3268451 ,925327 ,2010970 ,2740117 ,227278 ,601223 ,1096273 ,482099 ,4003273 ,6725383 ,2031216 ,1841014 ,1797171 ,23477208 ,15482614 ,3738367 ,287263 ,3600467 ,1554610 ,2371497 ,470081 ,1286704 ,89235298 ,64830865 ,0 ,0 ,0 ,0 ,0 ,2859010 ,67689875 ,156925173 
L,부동산서비스,50206 ,6663 ,237239 ,388379 ,160750 ,147759 ,352810 ,75683 ,366703 ,260524 ,226042 ,253946 ,140277 ,311638 ,122579 ,476189 ,145408 ,339607 ,591687 ,13056242 ,1131324 ,6142070 ,1531798 ,5923311 ,5246341 ,4940252 ,1056883 ,563040 ,2037693 ,2605953 ,626139 ,1338599 ,50853734 ,114188583 ,0 ,26009160 ,16275 ,0 ,0 ,429765 ,140643783 ,191497517 
M,"전문, 과학 및 기술 서비스",735275 ,172534 ,3226846 ,1222862 ,813140 ,2502417 ,9294789 ,1188325 ,3874153 ,2150993 ,5210379 ,2707357 ,2301280 ,5660651 ,646890 ,1530049 ,1388168 ,763677 ,16524672 ,10738073 ,2129716 ,1711258 ,6743989 ,3883264 ,945146 ,7861648 ,2221768 ,1623567 ,2374680 ,744971 ,844179 ,614778 ,104351495 ,3132497 ,0 ,53459554 ,9679165 ,0 ,0 ,15901469 ,82172685 ,186524180 
N,사업지원서비스,118182 ,125244 ,353130 ,316585 ,315738 ,380353 ,861550 ,214396 ,1056980 ,684111 ,1300140 ,396747 ,348776 ,3271247 ,103736 ,1783747 ,743933 ,424245 ,6210817 ,5709808 ,4734432 ,878460 ,3597823 ,6134456 ,6962471 ,5777706 ,3502353 ,2992737 ,1897593 ,984184 ,1579025 ,386789 ,64147495 ,3549269 ,0 ,0 ,0 ,0 ,0 ,8784508 ,12333777 ,76481272 
O,"공공행정, 국방 및 사회보장",36880 ,8194 ,21874 ,29142 ,37860 ,21522 ,383230 ,19587 ,29472 ,87502 ,115972 ,57003 ,80202 ,35039 ,13932 ,139294 ,40792 ,3016 ,47683 ,180114 ,177989 ,21928 ,145262 ,96376 ,141238 ,57084 ,54385 ,0 ,3984 ,223869 ,11738 ,19302 ,2341467 ,1165776 ,119834041 ,0 ,0 ,0 ,0 ,37565 ,121037382 ,123378849 
P,교육서비스,3150 ,735 ,24457 ,7813 ,15579 ,26314 ,94755 ,17348 ,66100 ,73009 ,47916 ,48413 ,59697 ,43293 ,2766 ,127544 ,17746 ,10027 ,44487 ,537584 ,45994 ,48990 ,83032 ,261272 ,63757 ,227126 ,38825 ,5027 ,50270 ,11041 ,14964 ,57173 ,2176206 ,53694239 ,60287050 ,0 ,0 ,0 ,0 ,171152 ,114152441 ,116328647 
Q,보건 및 사회복지 서비스,123270 ,11634 ,101387 ,69191 ,70331 ,43725 ,240598 ,52576 ,134723 ,189661 ,162387 ,111163 ,201603 ,273753 ,32349 ,156986 ,55389 ,85371 ,368139 ,1092074 ,190597 ,401283 ,257544 ,523275 ,134581 ,593138 ,200994 ,73223 ,296408 ,623260 ,146360 ,123482 ,7140456 ,45231438 ,66877855 ,0 ,0 ,0 ,0 ,370313 ,112479606 ,119620062 
R,"예술, 스포츠 및 여가 관련 서비스",57797 ,19255 ,61610 ,66898 ,61215 ,54700 ,194081 ,41111 ,163036 ,147443 ,81535 ,67503 ,113409 ,74918 ,18451 ,117290 ,28822 ,45239 ,153419 ,342561 ,611814 ,95055 ,1085118 ,397513 ,126975 ,821976 ,154104 ,48306 ,583424 ,134470 ,1183114 ,203438 ,7355599 ,29512049 ,1923311 ,463097 ,0 ,0 ,2512 ,1037209 ,32938178 ,40293777 
S,기타 서비스,101391 ,20710 ,170743 ,85883 ,81467 ,120023 ,274517 ,102315 ,253421 ,251382 ,546624 ,201995 ,276911 ,202787 ,24986 ,331563 ,62585 ,166989 ,409051 ,1695263 ,2337858 ,366562 ,451069 ,743047 ,228346 ,1311887 ,684272 ,221825 ,926465 ,254700 ,350078 ,381616 ,13638333 ,39943089 ,0 ,0 ,0 ,0 ,0 ,611914 ,40555003 ,54193336 
9590,중간투입계,26232735 ,1959527 ,75777002 ,41329662 ,23412491 ,14894183 ,118735196 ,24051848 ,58208193 ,57809356 ,111848732 ,52418393 ,73101348 ,178798287 ,12264320 ,29478709 ,24714972 ,8661597 ,120024031 ,105548425 ,58352314 ,79425117 ,53903281 ,60585934 ,44128802 ,84115215 ,20705619 ,25639960 ,34272384 ,49046055 ,17063982 ,28537071 ,1715044741 ,720312016 ,250087968 ,353250206 ,68653837 ,6191880 ,1371977 ,714825281 ,2114693165 ,3829737906 
